id,domain,sub_domain,event_type,source_type,based_on_template,split,created_date
syn_finance_creditcard_0003,Finance,credit_card,note,synthetic_llm,New purchase alert (generic structure),val,2026-08-03
syn_finance_creditcard_0004,Finance,credit_card,finance_obligation,synthetic_llm,Overdue payment notice (generic structure),train,2026-08-03
syn_finance_creditcard_0005,Finance,credit_card,finance_obligation,synthetic_llm,Annual fee renewal notice (generic structure),train,2026-08-03
syn_finance_mortgage_0001,Finance,mortgage,finance_obligation,synthetic_llm,Mortgage payment reminder (generic structure),train,2026-08-03
syn_finance_mortgage_0002,Finance,mortgage,finance_obligation,synthetic_llm,Mortgage renewal notice (generic structure),test,2026-08-03
syn_finance_mortgage_0003,Finance,mortgage,note,synthetic_llm,Mortgage statement ready notification (generic structure),train,2026-08-03
syn_finance_tax_0001,Finance,tax,finance_obligation,synthetic_llm,CRA Notice of Assessment (structure only),train,2026-08-03
syn_finance_tax_0002,Finance,tax,finance_obligation,synthetic_llm,Municipal Property Tax Bill (structure only),test,2026-08-03
syn_finance_tax_0003,Finance,tax,finance_obligation,synthetic_llm,CRA GST/HST credit notice (structure only),train,2026-08-03
syn_finance_tax_0004,Finance,tax,finance_obligation,synthetic_llm,CRA tax instalment reminder (structure only),train,2026-08-03
syn_finance_tax_0005,Finance,tax,finance_obligation,synthetic_llm,"Municipal property tax bill, second installment (structure only)",train,2026-08-03
syn_finance_tax_0006,Finance,tax,note,synthetic_llm,CRA My Account mail notification (structure only),train,2026-08-03
syn_finance_tax_0007,Finance,tax,finance_obligation,synthetic_llm,Municipal final property tax bill (structure only),val,2026-08-03
syn_finance_tax_0008,Finance,tax,finance_obligation,synthetic_llm,"CRA Notice of Assessment, refund case (structure only)",train,2026-08-03
syn_finance_tax_0009,Finance,tax,finance_obligation,synthetic_llm,Municipal property tax eBilling notice (structure only),train,2026-08-03
syn_finance_tax_0010,Finance,tax,finance_obligation,synthetic_llm,CRA balance owing reminder (structure only),test,2026-08-03
syn_health_medical_0001,Health,medical,schedule,synthetic_llm,Dental/medical clinic appointment reminder (generic structure),val,2026-08-03
syn_health_medical_0002,Health,medical,schedule,synthetic_llm,Hospital lab test appointment reminder (structure only),train,2026-08-03
syn_health_medical_0003,Health,medical,finance_obligation,synthetic_llm,Hospital invoice for uninsured service (structure only),train,2026-08-03
syn_health_medical_0004,Health,medical,note,synthetic_llm,Health insurance claim processed notification (generic structure),train,2026-08-03
syn_health_medical_0005,Health,medical,schedule,synthetic_llm,Prescription renewal reminder (generic structure),train,2026-08-03
syn_home_childcare_0001,Home & Family,childcare,finance_obligation,synthetic_llm,Daycare monthly fee invoice (generic structure),val,2026-08-03
syn_home_childcare_0002,Home & Family,childcare,finance_obligation,synthetic_llm,Extracurricular activity registration fee (generic structure),test,2026-08-03
syn_home_childcare_0003,Home & Family,childcare,note,synthetic_llm,"Camp registration confirmation, no balance owing (generic structure)",train,2026-08-03
syn_home_phone_0001,Home & Family,phone,finance_obligation,synthetic_llm,Mobile phone bill ready notice (generic structure),train,2026-08-03
syn_home_phone_0002,Home & Family,phone,note,synthetic_llm,Pre-authorized payment enrollment confirmation (generic structure),train,2026-08-03
syn_home_phone_0003,Home & Family,phone,finance_obligation,synthetic_llm,Prepaid plan extra usage charge notice (generic structure),train,2026-08-03
syn_home_rentproperty_0001,Home & Family,rent_property,finance_obligation,synthetic_llm,Rent payment reminder (generic structure),train,2026-08-03
syn_home_rentproperty_0002,Home & Family,rent_property,note,synthetic_llm,Property assessment notice (structure only),test,2026-08-03
syn_home_rentproperty_0003,Home & Family,rent_property,finance_obligation,synthetic_llm,Condo fee payment notice (generic structure),train,2026-08-03
syn_home_utilities_0001,Home & Family,utilities,finance_obligation,synthetic_llm,Electricity utility bill (generic structure),train,2026-08-03
syn_home_utilities_0002,Home & Family,utilities,finance_obligation,synthetic_llm,Internet/telecom bill (generic structure),train,2026-08-03
syn_home_utilities_0003,Home & Family,utilities,finance_obligation,synthetic_llm,Water utility bill (generic structure),val,2026-08-03
syn_home_utilities_0004,Home & Family,utilities,note,synthetic_llm,Electricity meter information notice (generic structure),train,2026-08-03
syn_home_utilities_0005,Home & Family,utilities,finance_obligation,synthetic_llm,Gas utility bill (generic structure),train,2026-08-03
syn_home_utilities_0006,Home & Family,utilities,note,synthetic_llm,Cloud storage account billing update (generic structure),test,2026-08-03
syn_notes_0001,Notes,uncategorized,note,synthetic_llm,,train,2026-08-03
syn_notes_0002,Notes,uncategorized,note,synthetic_llm,,train,2026-08-03
syn_notes_0003,Notes,uncategorized,note,synthetic_llm,,test,2026-08-03
syn_notes_0004,Notes,uncategorized,note,synthetic_llm,,val,2026-08-03
syn_notes_0005,Notes,uncategorized,note,synthetic_llm,,train,2026-08-03
syn_notes_0006,Notes,uncategorized,note,synthetic_llm,,train,2026-08-03
syn_notes_0007,Notes,uncategorized,note,synthetic_llm,,train,2026-08-03
syn_notes_0008,Notes,uncategorized,note,synthetic_llm,,test,2026-08-03
syn_notes_0009,Notes,uncategorized,note,synthetic_llm,,train,2026-08-03
syn_pg_subscription_0001,Personal Growth,subscription_personal,note,synthetic_llm,Streaming service payment receipt (generic structure),val,2026-08-03
syn_pg_subscription_0002,Personal Growth,subscription_personal,note,synthetic_llm,Gym membership payment receipt (generic structure),train,2026-08-03
syn_pg_subscription_0003,Personal Growth,subscription_personal,note,synthetic_llm,Music streaming service receipt (generic structure),train,2026-08-03
syn_pg_subscription_0004,Personal Growth,subscription_personal,note,synthetic_llm,Professional networking event registration confirmation (generic structure),train,2026-08-03
syn_pg_subscription_0005,Personal Growth,subscription_personal,finance_obligation,synthetic_llm,Online course payment reminder (generic structure),train,2026-08-03
syn_work_businesstax_0001,Work & Business,business_tax,finance_obligation,synthetic_llm,Corporate HST remittance reminder (structure only),val,2026-08-03
syn_work_businesstax_0002,Work & Business,business_tax,note,synthetic_llm,Corporate tax filing confirmation (structure only),train,2026-08-03
syn_work_businesstax_0003,Work & Business,business_tax,finance_obligation,synthetic_llm,Payroll remittance (PD7A) reminder (structure only),train,2026-08-03
syn_work_contractinvoice_0001,Work & Business,contract_invoice,finance_obligation,synthetic_llm,Supplier invoice due (generic structure),train,2026-08-03
syn_work_contractinvoice_0002,Work & Business,contract_invoice,note,synthetic_llm,Purchase order confirmation (generic structure),train,2026-08-03
syn_work_contractinvoice_0003,Work & Business,contract_invoice,finance_obligation,synthetic_llm,Overdue supplier invoice notice (generic structure),train,2026-08-03
syn_work_payroll_0001,Work & Business,payroll,note,synthetic_llm,T4 slip availability notification (generic structure),train,2026-08-03
syn_work_payroll_0002,Work & Business,payroll,note,synthetic_llm,Pay statement ready notification (generic structure),test,2026-08-03
syn_work_payroll_0003,Work & Business,payroll,note,synthetic_llm,Benefits enrollment reminder (generic structure),train,2026-08-03
syn_work_payroll_0004,Work & Business,payroll,finance_obligation,synthetic_llm,WSIB premium payment notice (structure only),val,2026-08-03
syn_work_payroll_0005,Work & Business,payroll,note,synthetic_llm,Paystub changed/updated notification (generic structure),test,2026-08-03
syn_work_subscriptionbiz_0001,Work & Business,subscription_biz,finance_obligation,synthetic_llm,Business software subscription renewal (generic structure),train,2026-08-03
syn_work_subscriptionbiz_0002,Work & Business,subscription_biz,finance_obligation,synthetic_llm,Accounting software payment failed notice (generic structure),test,2026-08-03
syn_work_subscriptionbiz_0003,Work & Business,subscription_biz,note,synthetic_llm,Cloud storage plan upgrade confirmation (generic structure),train,2026-08-03
syn_work_subscriptionbiz_0004,Work & Business,subscription_biz,finance_obligation,synthetic_llm,Business billing account past due notice (generic structure),train,2026-08-03
